C:\Documents and Settings\MoranLab\Desktop\Protocol9ChildData\Dot-Probe1\DotProbeRelationship-91031-1.edat
ExperimentName	Subject	Session	Display.RefreshRate	Group	RandomSeed	SessionDate	SessionTime	Block	Block1	Block1.Cycle	Block1.Sample	Block2	Block2.Cycle	Block2.Sample	Block3	Block3.Cycle	Block3.Sample	Block4	Block4.Cycle	Block4.Sample	correct	duration	pairtype	Practice	Practice.Cycle	Practice.Sample	probe.ACC	probe.CRESP	probe.DurationError	probe.OnsetDelay	probe.OnsetTime	probe.RESP	probe.RT	probe.RTTime	probeL	probeloc	probeR	Procedure	Running	stimL	stimLtype	stimR	stimRtype	trialtype
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	1													q	1250		9	1	1	1	q	-999999	3	77693	q	608	78301	dot.bmp	left	blank.bmp	trialproc	Practice	9.bmp		29.bmp		practice
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	2													p	200		4	1	2	1	p	-999999	17	80081	p	694	80775	blank.bmp	right	dot.bmp	trialproc	Practice	4.bmp		24.bmp		practice
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	3													p	200		8	1	3	1	p	-999999	17	82552	p	504	83056	blank.bmp	right	dot.bmp	trialproc	Practice	8.bmp		28.bmp		practice
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	4													q	1250		3	1	4	1	q	-999999	2	85875	q	494	86369	dot.bmp	left	blank.bmp	trialproc	Practice	3.bmp		23.bmp		practice
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	5													q	1250		1	1	5	1	q	-999999	2	89198	q	524	89722	dot.bmp	left	blank.bmp	trialproc	Practice	1.bmp		21.bmp		practice
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	6													q	1250		7	1	6	1	q	-999999	2	92538	q	413	92951	dot.bmp	left	blank.bmp	trialproc	Practice	7.bmp		27.bmp		practice
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	7													q	1250		5	1	7	1	q	-999999	2	95761	q	458	96219	dot.bmp	left	blank.bmp	trialproc	Practice	5.bmp		25.bmp		practice
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	8													p	200		6	1	8	1	p	-999999	17	97982	p	662	98644	blank.bmp	right	dot.bmp	trialproc	Practice	6.bmp		26.bmp		practice
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	9													p	200		10	1	9	1	p	-999999	17	100420	p	504	100924	blank.bmp	right	dot.bmp	trialproc	Practice	10.bmp		30.bmp		practice
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	10													p	200		2	1	10	1	p	-999999	1	102708	p	499	103207	blank.bmp	right	dot.bmp	trialproc	Practice	2.bmp		22.bmp		practice
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	11	38	1	1										p	1250	baby-neutral				1	p	-999999	2	124366	p	593	124959	blank.bmp	right	dot.bmp	trialproc	Block1	29.bmp	neutral	neut8.bmp	baby	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	12	20	1	2										p	1250	hap-neutral				1	p	-999999	2	127756	p	529	128285	blank.bmp	right	dot.bmp	trialproc	Block1	21.bmp	neutral	hap10.bmp	happy	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	13	9	1	3										q	200	cry-neutral				1	q	-999999	17	130061	q	577	130638	dot.bmp	left	blank.bmp	trialproc	Block1	9.bmp	neutral	cry9.bmp	cry	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	14	23	1	4										q	200	neutral-neutral				1	q	-999999	1	132399	q	458	132857	dot.bmp	left	blank.bmp	trialproc	Block1	13.bmp	neutral	24.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	15	14	1	5										p	1250	hap-neutral				1	p	-999999	3	135672	p	650	136322	blank.bmp	right	dot.bmp	trialproc	Block1	hap4.bmp	happy	14.bmp	neutral	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	16	1	1	6										q	200	cry-neutral				1	q	-999999	17	138093	q	450	138543	dot.bmp	left	blank.bmp	trialproc	Block1	cry1.bmp	cry	1.bmp	neutral	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	17	5	1	7										q	200	cry-neutral				1	q	-999999	17	140314	q	610	140924	dot.bmp	left	blank.bmp	trialproc	Block1	cry5.bmp	cry	5.bmp	neutral	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	18	29	1	8										q	200	neutral-neutral				1	q	-999999	17	142702	q	645	143347	dot.bmp	left	blank.bmp	trialproc	Block1	20.bmp	neutral	30.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	19	28	1	9										p	1250	neutral-neutral				1	p	-999999	2	146142	p	550	146692	blank.bmp	right	dot.bmp	trialproc	Block1	18.bmp	neutral	29.bmp	neutral	neutral
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	20	34	1	10										p	1250	baby-neutral				1	p	-999999	3	149499	p	531	150030	blank.bmp	right	dot.bmp	trialproc	Block1	neut4.bmp	baby	25.bmp	neutral	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	21	39	1	11										q	200	baby-neutral				1	q	-999999	1	151770	q	594	152364	dot.bmp	left	blank.bmp	trialproc	Block1	30.bmp	neutral	neut9.bmp	baby	incongruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	22	16	1	12										p	1250	hap-neutral				1	p	-999999	3	155193	p	722	155915	blank.bmp	right	dot.bmp	trialproc	Block1	16.bmp	neutral	hap6.bmp	happy	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	23	36	1	13										p	1250	baby-neutral				1	p	-999999	3	158750	p	397	159147	blank.bmp	right	dot.bmp	trialproc	Block1	27.bmp	neutral	neut6.bmp	baby	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	24	13	1	14										q	200	hap-neutral				1	q	-999999	17	160921	q	614	161535	dot.bmp	left	blank.bmp	trialproc	Block1	hap3.bmp	happy	13.bmp	neutral	congruent
DotProbeRelationship	9103	1	59.884	1	360260018	03-03-2013	16:17:15	25	3	1	15										q	200	cry-neutral				1	q	-999999	17	163325	q	504	163829	dot.bmp	left	blank.bmp	trialproc	Block1	cry3.bmp	cry	3.bmp	neutral	congruent
